frame,x0,x1,stress,sphere_res,stiefel_res,residual_ortho,health
69,1.03847196397277552e0,-1.12667722655229063e-1,1.64067876117637734e-1,0.00000000000000000e0,3.84803742273899131e-16,1.41834199409847203e-16,Nominal
70,-4.01616053716351493e-2,9.26418010477828346e-1,3.35703162458069637e-1,1.11022302462515654e-16,2.23247521469099245e-16,1.24320504357517659e-16,Nominal
71,-3.55940172080179834e-2,2.94237520673435560e-1,2.73998647575565690e-1,0.00000000000000000e0,2.48519950716372430e-16,1.11940080849843291e-16,Nominal
72,-4.33690246692417306e-2,4.35538907816244603e-1,1.76556789348970122e-1,1.11022302462515654e-16,2.49127672269958242e-16,8.80446933446793495e-17,Nominal
73,-4.51341284450531358e-2,6.20940217716401843e-1,3.36189383184564150e-2,0.00000000000000000e0,2.48559301033105275e-16,9.66476085078057879e-17,Nominal
74,-3.07810117828014283e-2,7.40837633054645117e-2,5.39881660878481329e-1,0.00000000000000000e0,2.22376393953315966e-16,2.86034808109083555e-16,Nominal
75,4.84376286685437030e-2,-2.70299854225753089e-1,3.92888349967119854e-1,1.11022302462515654e-16,4.15698892099694932e-16,1.55158384577954570e-16,Nominal
76,-4.16540647265727093e-2,8.62786879320475597e-1,5.96669742490318900e-3,0.00000000000000000e0,4.58190354547497149e-16,2.39165464372055406e-16,Nominal
77,4.35476791786860301e-2,7.31221026900363835e-1,6.83576250262812879e-2,0.00000000000000000e0,3.14116702988169085e-16,1.35486234660355219e-16,Nominal
78,-3.10564369376657781e-2,4.66061277424660858e-2,3.56399477625661376e-1,0.00000000000000000e0,1.93800524202307568e-16,3.20337251735389662e-17,Nominal
79,-6.61152320651715603e-3,8.14552926426274304e-1,1.19083860353108251e-1,0.00000000000000000e0,3.33145954415811017e-16,6.08885468946782262e-17,Nominal
80,-1.34779318473345899e-2,6.14116671038552608e-1,5.55111218961283903e-2,1.11022302462515654e-16,4.96508345865741966e-16,1.24513999423025724e-16,Nominal
81,-4.04876490605609526e-2,-5.75207544798734816e-2,1.99445940225112639e-1,2.22044604925031308e-16,4.57832273935234570e-16,2.86097924907639841e-17,Nominal
82,-7.68943775727174480e-3,8.70306988809128601e-1,8.17149351153300119e-2,0.00000000000000000e0,3.33270133294178533e-16,2.23976331150619464e-16,Nominal
83,-3.86255172771768490e-2,7.26330427504086495e-1,1.06015975006387264e-1,1.11022302462515654e-16,3.14353720735565404e-16,3.50122037238799857e-16,Nominal
84,4.67813900109909364e-2,-1.09225385610114190e-1,1.79025640095502703e-1,0.00000000000000000e0,3.84980635011160834e-16,1.17756934401283119e-16,Nominal
85,-4.81004831800963886e-2,5.17568816603467763e-1,2.81574091876274024e-1,0.00000000000000000e0,1.52344873437327214e-17,7.65701617061718596e-17,Nominal
86,3.52038688780567655e-2,-3.19404864092318608e-2,3.15592419469897245e-1,0.00000000000000000e0,2.23062101307680805e-16,7.57738651957549742e-17,Nominal
87,2.21209811770252361e-2,7.42528849692151383e-1,1.59441097062561599e-1,0.00000000000000000e0,3.84784191125761899e-16,2.95478968891259655e-16,Nominal
88,-3.94237834123273845e-2,2.51808150638943795e-1,3.31248933483141439e-2,1.11022302462515654e-16,3.52249260183632905e-16,1.90977219379258105e-16,Nominal
89,-2.07998560958646897e-2,-6.92502807897773964e-1,1.47477773564767434e0,0.00000000000000000e0,3.14920402175786770e-16,2.77382229564675023e-16,Nominal
90,1.98133618266656675e0,5.64372415575779884e-1,2.54215184307216457e-1,0.00000000000000000e0,2.23738982357517668e-16,3.21967668029948285e-16,Nominal
91,-2.40655385218504526e-3,6.16522953619777603e-1,2.36721607950002300e-2,0.00000000000000000e0,2.23100040695760290e-16,3.12250225675825277e-17,Nominal
92,2.44303208368338307e-3,-5.73258453007572832e-1,1.11092139507778986e0,2.22044604925031308e-16,1.07636761014555183e-17,1.61543649663015376e-16,Nominal
93,9.51491403604765584e-1,-3.06824537071459735e-1,3.33180631282193329e-1,1.11022302462515654e-16,2.72439964941565081e-16,1.10587771235607006e-16,Nominal
94,2.61342195373446169e-2,6.31168351383184500e-1,1.93856314597386281e-1,1.11022302462515654e-16,6.30305276015835459e-16,1.52173641562103968e-16,Nominal
95,2.23325849603984855e-2,-7.15729246566551902e-1,4.38256755443069745e-1,0.00000000000000000e0,3.34394667268598544e-16,3.35479553959893515e-16,Nominal
96,-2.25069563657000378e-2,-4.96101870429570102e-1,5.13546734678388961e-1,0.00000000000000000e0,2.72823529872809017e-16,8.23947999206564365e-17,Nominal
97,-2.99345321691608674e-3,1.37737041424141449e-1,7.24604917911866542e-1,0.00000000000000000e0,7.45592141445457606e-16,8.15689040305818864e-17,Nominal
98,9.67588106066629816e-1,-8.29464781602966106e-1,2.68975086135047059e-2,1.11022302462515654e-16,1.58482916473018799e-16,3.31327642719517835e-16,Nominal
99,-4.96395104890575839e-2,-5.91057868380423512e-1,1.91627538733205705e-1,1.11022302462515654e-16,3.14036459504934530e-16,2.08859553864243637e-16,Nominal
100,-4.34179524160168626e-2,-6.43396558588851253e-1,9.65091951133445480e-2,1.11022302462515654e-16,6.84524829039171802e-16,2.43850542408574334e-16,Nominal
101,4.89389990587015267e-2,7.60811909015104426e-2,2.54069207952032028e-1,2.22044604925031308e-16,4.58167777456890442e-16,1.53373494161694134e-16,Nominal
102,3.21890275812333690e-2,-3.25356558111179917e-1,9.60279686543547006e-2,0.00000000000000000e0,3.14116702988169085e-16,1.76907777093864878e-16,Nominal
103,1.92725581444301852e-2,6.38658418447489051e-1,2.96322902808860311e-1,1.11022302462515654e-16,2.24437287103414576e-16,3.27968271931946388e-16,Nominal
104,7.55497078583691230e-3,-6.01103954679097274e-1,3.06360963456834279e-2,0.00000000000000000e0,4.97075564201151912e-16,6.60335200085095090e-17,Nominal
105,4.65184668008723073e-2,-9.23928583539273207e-1,2.56824185580519782e-1,1.11022302462515654e-16,2.22770173733547652e-16,6.10002011991887576e-16,Nominal
106,1.82336475059749932e-2,8.43494526682228907e-1,6.12498709150483767e-1,0.00000000000000000e0,3.84765127799815835e-16,1.11374110762192129e-16,Nominal
107,-4.55168994181020317e-2,-8.58206291568221369e-1,6.16472187203862987e-1,2.22044604925031308e-16,2.22197018546425604e-16,2.75327244595829168e-16,Nominal
108,6.11284935378048067e-3,-3.19247918821448762e-1,1.81459441761069429e-1,0.00000000000000000e0,4.44946004189930660e-16,9.49513536089020064e-17,Nominal
109,-3.04300831371495106e-2,-2.72738379827494715e-1,1.14287212742565147e-1,1.11022302462515654e-16,3.14580994107008661e-16,1.86835436258806772e-16,Nominal
110,6.48352990488765268e-4,-7.30018910196857718e-1,2.01110048220925708e-1,0.00000000000000000e0,6.28099569871440787e-16,1.49629327350962901e-16,Nominal
111,4.57397425284443437e-2,-3.78320335501724392e-1,1.42414681684884803e-2,0.00000000000000000e0,3.34376668497555764e-16,1.80544632456226651e-16,Nominal
112,-1.94688238378565304e-2,1.70243649418943876e-1,4.95386022999282916e-1,0.00000000000000000e0,4.02720267505606746e-16,1.55777781789570919e-16,Nominal
113,4.27356074837524358e-2,-9.19531971875870546e-1,2.62550086855451115e-1,0.00000000000000000e0,2.23035961530507212e-16,3.03686867122518453e-16,Nominal
114,4.34520640883880593e-2,-5.12294269426075255e-1,2.78910443145391485e-2,2.22044604925031308e-16,4.97195020565472440e-16,1.24562326224543776e-16,Nominal
115,-2.21751811866454235e-2,4.45319868715761791e-1,4.12777267271815407e-1,1.11022302462515654e-16,3.14709510286375668e-16,2.01138176123490730e-16,Nominal
116,7.81917061575114827e-3,-3.31511936399440099e-2,1.33671636338791533e-1,0.00000000000000000e0,2.48484378722349091e-16,2.28588903500708449e-16,Nominal
117,-2.81281408390897797e-2,-1.01157329672208141e-1,2.23248831464738395e-1,1.11022302462515654e-16,4.59604337189792994e-16,7.05928022612927042e-17,Nominal
118,4.37055567492502448e-2,8.03957725053512373e-2,2.72912062484627738e-1,0.00000000000000000e0,4.57852402863770679e-16,7.07631108375459463e-17,Nominal
119,1.74536065685671482e-2,-4.48724440916694611e-1,1.97536401827585473e-1,0.00000000000000000e0,4.15790275075970162e-16,2.40970512352186256e-16,Nominal
120,-1.20109254109706642e-2,2.94321991255839910e-1,4.40847510808400900e-1,0.00000000000000000e0,2.50837805487254730e-16,9.26413801423295984e-17,Nominal
121,-2.60209000437036340e-2,-8.46667636230896248e-1,1.55502970496337212e-1,1.11022302462515654e-16,2.48981357617185344e-16,3.66191045280328230e-16,Nominal
122,4.57220078642013323e-3,-7.59780039954605302e-1,9.62071600211534816e-2,0.00000000000000000e0,1.58221992878041395e-16,1.53755618002573553e-16,Nominal
123,2.19759666669652534e-2,-6.15789705953017963e-1,3.17134926029612685e-1,0.00000000000000000e0,1.11237478539121500e-16,1.14189910481203800e-16,Nominal
124,-2.86959446312070494e-2,8.34706290776659143e-1,1.31114190491359661e0,1.11022302462515654e-16,2.48957611727569827e-16,2.96982429878134502e-16,Nominal
125,1.01460279671366904e0,-6.80857506506987509e-1,8.96337007553339449e-2,0.00000000000000000e0,4.59352604999950779e-16,3.13270119431589074e-16,Nominal
126,3.36474529428587368e-2,3.05272920334894948e-1,1.51074650452683890e0,0.00000000000000000e0,4.58452456000896497e-16,2.32099711179431380e-16,Nominal
127,1.97901556284143409e0,2.76542187006436624e-1,1.63525298882865600e-1,0.00000000000000000e0,1.11451764566170722e-16,7.47098125925879826e-16,Nominal
128,1.83530033460531546e-2,2.91945947477257661e-1,2.27158637177096501e-1,0.00000000000000000e0,2.48512382633432454e-16,2.26924110415913548e-16,Nominal
129,2.84089364272291922e-2,6.35792557885546783e-1,5.28412944864420808e-1,0.00000000000000000e0,3.33786249763809702e-16,1.98888902401292782e-16,Nominal
130,-2.47526109339355829e-2,8.06122876578542202e-1,8.30816220016112883e-2,0.00000000000000000e0,3.15197990580462975e-16,4.73118598013654985e-16,Nominal
131,-1.51269631875079365e-2,-8.13092820597685062e-1,1.33684810644586949e0,0.00000000000000000e0,6.85876766057458977e-16,1.33291799211250239e-16,Nominal
132,2.01763491895175662e0,-4.38481780194361681e-1,5.74734662420183229e-2,2.22044604925031308e-16,2.50153660814406355e-16,4.78712375982483865e-16,Nominal
133,-3.02786542153877028e-2,-9.61883551842145135e-1,2.50680760373827027e-1,0.00000000000000000e0,2.48582236745244589e-16,1.84744487051438554e-16,Nominal
134,3.31912987836188514e-2,4.96770814398812544e-2,5.24792211236239758e-1,0.00000000000000000e0,7.37027845774628041e-16,2.08166817117216851e-17,Nominal
135,3.22120330307745784e-2,-7.18487899798056384e-1,2.94515339317832359e-1,0.00000000000000000e0,2.25088309149811799e-16,2.42445836746697035e-16,Nominal
136,2.56979901304506004e-3,6.68649543956777892e-1,6.30757423387720562e-1,2.22044604925031308e-16,4.58147046603028270e-16,1.88630739071218674e-16,Nominal
137,3.18466036476740891e-2,3.96022901036581221e-1,3.61980154228610296e-1,0.00000000000000000e0,3.33367327425074503e-16,1.10944348063496253e-16,Nominal
138,2.95175366057163109e-2,-8.48438953628668502e-1,5.16343569691962490e-1,0.00000000000000000e0,2.48960819487815399e-16,6.33250106838731987e-16,Nominal
139,-2.20477420718943606e-2,1.82933019564295529e-1,5.16797588556762610e-1,1.11022302462515654e-16,5.98054493031310841e-16,1.24604785476429703e-16,Nominal
140,-2.30821790011549906e-2,6.52273335705023216e-1,1.33898572471272370e0,0.00000000000000000e0,2.55256308110223949e-16,1.47770034380705253e-17,Nominal
141,2.03206461386964232e0,-5.18763556973053985e-1,5.50681723152457003e-1,0.00000000000000000e0,4.00517401910664424e-16,3.62524004509580204e-16,Nominal
142,-4.53311770526611327e-2,-7.19520770522750208e-2,1.63285243279114312e-1,0.00000000000000000e0,2.23973077182720594e-16,7.12715948209476736e-17,Nominal
143,-3.68957688491959243e-2,-3.49385148861043993e-1,5.23613391828545049e-1,1.11022302462515654e-16,3.84971993832760490e-16,1.84273037452518960e-16,Nominal
144,-2.01559080253274417e-2,9.78235068769200078e-1,5.54745363073578135e-1,0.00000000000000000e0,3.33565225256241533e-16,3.51100489180712371e-16,Nominal
145,-1.03701260520712153e-3,9.67359173074335832e-2,3.90851100112932559e-1,0.00000000000000000e0,4.00648366849314748e-16,6.41671845456245909e-17,Nominal
146,-4.49282786801999540e-2,-7.61281111349634054e-1,2.77810604575814857e-1,2.22044604925031308e-16,3.14428200763275328e-16,2.71527173011420497e-17,Nominal
147,4.65100711142014470e-2,-7.80855846054851810e-1,4.22258072233415271e-1,0.00000000000000000e0,3.14481432702062750e-16,1.12957008997075684e-16,Nominal
148,1.23547229772636557e-2,-4.52621876224593711e-1,2.04470661580265278e-1,0.00000000000000000e0,5.44258432477134254e-16,8.69440914135049236e-17,Nominal
149,4.61578062494662836e-2,9.75610760213619255e-1,8.50803605361363680e-1,0.00000000000000000e0,3.14191314028361446e-16,1.64862628694816296e-16,Nominal
150,9.54352046601008808e-1,5.70170451583944526e-2,3.53370612586608845e-1,0.00000000000000000e0,4.18922727901052164e-16,1.67910121274764936e-16,Nominal
151,-3.05079172252645248e-2,-6.04879143104989137e-1,1.58707839724645527e-1,1.11022302462515654e-16,3.86325835503261968e-16,2.40683212186260218e-16,Nominal
152,-3.03652769457763219e-2,9.04812016087347848e-1,4.95470002969025880e-1,0.00000000000000000e0,1.59657821533541718e-16,7.46737506899758510e-17,Nominal
153,-1.27874914336285513e-2,3.61926588382299963e-1,6.07216796109324219e-1,0.00000000000000000e0,7.02571858686293719e-16,2.08780294375335472e-16,Nominal
154,-1.39091531560027529e-2,4.84886551447913927e-2,1.20238829486427057e-1,0.00000000000000000e0,5.09976248594706066e-16,1.25456012532974952e-16,Nominal
