frame,x0,x1,stress,sphere_res,stiefel_res,residual_ortho,health
133,6.73868739727026655e-1,7.76368694851850893e-1,2.21044055810916129e-2,1.11022302462515654e-16,2.22278263078911642e-16,4.24862076487998237e-16,Nominal
134,7.52179336608972182e-1,3.63276815420271904e-1,2.42803097866581830e-2,1.11022302462515654e-16,2.22112357224208256e-16,3.44664715893917952e-16,Nominal
135,2.94321991255839910e-1,3.83227259755712035e-1,2.28572317600559405e-2,1.11022302462515654e-16,5.43973435833907540e-16,8.07345598584370244e-17,Nominal
136,1.22617642571899887e-1,-8.46667636230896248e-1,1.05287449194834726e0,1.11022302462515654e-16,3.84602317846350174e-16,4.30983660176966090e-16,Nominal
137,-5.20418000874072639e-1,7.12289958276932422e-1,5.31909837832496901e-1,0.00000000000000000e0,2.48474538761081863e-16,2.69658844584728176e-16,Nominal
138,7.82428145904906280e-1,9.14440157284026611e-2,2.31398207637866560e-1,0.00000000000000000e0,4.71463566290504479e-16,1.98646668739175193e-16,Nominal
139,3.79724072511167465e-1,1.54932926750260824e-1,3.28062798677556056e-1,1.11022302462515654e-16,2.22264724385813532e-16,8.58453314928575051e-17,Nominal
140,1.47071219396400998e-1,-3.34622000097097638e-1,2.69212000608384683e-1,1.11022302462515654e-16,2.48301897585774390e-16,5.19259272631903042e-17,Nominal
141,5.87262230524763451e-1,7.92188095998308750e-1,2.03348049275628218e-1,0.00000000000000000e0,4.90653893338679740e-18,1.70674223035750027e-16,Nominal
142,-5.25651214997720828e-1,-8.91375358759097791e-1,1.29295907253158449e0,1.11022302462515654e-16,3.14095147051392949e-16,1.46015911247625061e-16,Nominal
143,-8.21587310095984069e-1,-3.38621394542819809e-1,4.32048878515096879e-1,0.00000000000000000e0,4.57782974862145938e-16,6.54613941668033769e-17,Nominal
144,2.91945947477257661e-1,9.73471689419628916e-1,3.97355719370773519e-1,1.11022302462515654e-16,4.96579555816065322e-16,4.98877036015329731e-16,Nominal
145,9.79570420301187461e-1,6.35792557885546783e-1,6.27870753964171469e-2,1.11022302462515654e-16,5.66211191489147687e-16,4.76768163457149776e-16,Nominal
146,5.68178728544583844e-1,-8.64179585897352665e-1,5.23256972309434576e-1,1.11022302462515654e-16,5.66280278900431981e-16,5.31222067596348714e-16,Nominal
147,-9.08629592614156323e-1,-4.95052218678711631e-1,9.12213386010984340e-1,1.11022302462515654e-16,3.33824986193523928e-16,4.41697524745641968e-16,Nominal
148,-7.82442024352610455e-1,-8.05012406061478281e-1,3.69638911794235581e-1,0.00000000000000000e0,1.57085891831384600e-16,1.53285176457230459e-16,Nominal
149,3.41948269523300041e-2,-3.51297525577517700e-1,9.35792998375234442e-2,1.11022302462515654e-16,3.14669466688156412e-16,1.05917618581875450e-16,Nominal
150,-4.87049277061749164e-1,-8.34387436232415514e-1,5.96517186798263266e-2,0.00000000000000000e0,3.33103045499451478e-16,9.10027404030511239e-17,Nominal
151,7.81526774643372946e-2,4.24578977052173956e-1,1.01150767243463746e0,1.11022302462515654e-16,7.44905692757323169e-16,1.57621370006085604e-16,Nominal
152,-7.85407732973217421e-1,-2.08800321648673348e-1,9.55486936441930501e-2,0.00000000000000000e0,2.72875917726118700e-16,4.67127244655108792e-16,Nominal
153,6.68649543956777892e-1,6.90440429939024325e-1,9.59734072342006583e-1,0.00000000000000000e0,5.43895982204207291e-16,1.80010475568271413e-16,Nominal
154,4.22498611839094984e-3,3.96022901036581221e-1,3.88217447043277541e-2,0.00000000000000000e0,1.09713545893021913e-17,1.25680685904849518e-16,Nominal
155,6.36932072953481754e-1,-5.79657234531420373e-1,1.68071542406852470e0,0.00000000000000000e0,2.49221268567689367e-16,2.15664573254282423e-16,Nominal
156,-5.88536521459418482e-1,5.90350732114326204e-1,1.22551293952154139e-1,0.00000000000000000e0,4.00326673477202675e-16,2.54856797779575656e-16,Nominal
157,3.74684426047504182e-1,-2.03772693867428689e-1,6.50856920294718977e-1,1.11022302462515654e-16,5.44034284521467119e-16,9.33532698856994598e-17,Nominal
158,-8.79640074733498922e-1,-9.90533645769410720e-1,1.21259004422255012e0,0.00000000000000000e0,3.52212950560939534e-16,2.16889001315553668e-16,Nominal
159,-3.65877550970887144e-1,1.28372237886303919e-1,8.60585956320633061e-2,0.00000000000000000e0,3.15435984606503990e-16,6.54613941668033769e-17,Nominal
160,6.28318690908677979e-1,2.56009691054593258e-1,7.35902202994783372e-1,1.11022302462515654e-16,3.14171783662769200e-16,1.86706539771398920e-16,Nominal
161,-6.28674456065191567e-1,1.29434372636851647e-1,2.52051718046886197e-1,0.00000000000000000e0,3.14363293454197713e-16,2.02063640522013256e-16,Nominal
162,9.78235068769200078e-1,9.84005050506938650e-1,1.84231162817275362e-1,0.00000000000000000e0,3.33473235350506414e-16,4.02754825627223164e-16,Nominal
163,3.62016263129011806e-1,9.67359173074335832e-2,2.87130002828277942e-1,0.00000000000000000e0,2.49426453558526784e-16,6.39734408315112904e-17,Nominal
164,-2.07402521041424315e-2,2.67810155198275002e-1,1.80558310073751893e-1,0.00000000000000000e0,2.48798296052888983e-16,9.30950307467727419e-17,Nominal
165,4.66893457518331667e-1,-8.98565573603999024e-1,6.39117282635862316e-1,0.00000000000000000e0,4.00914449170937587e-16,3.94724882039284909e-16,Nominal
166,2.53168033707053652e-1,6.96379650326568012e-1,2.50344004479969962e-1,0.00000000000000000e0,3.14394402776779306e-16,2.77902484281677790e-16,Nominal
167,-3.10803594763392033e-1,-2.39226933128100505e-3,6.37631547144079658e-1,0.00000000000000000e0,1.14465462707794164e-16,2.20412301941538688e-16,Nominal
168,8.73191088611569688e-1,-3.21071376871273406e-1,4.61804860200648926e-1,0.00000000000000000e0,1.12752021817424951e-16,5.05159101305033141e-17,Nominal
169,8.31674722627210539e-1,-3.94660593398311166e-1,1.81441750442377647e-1,0.00000000000000000e0,2.22681678865191289e-16,2.67395118103109956e-16,Nominal
170,5.81595475162553388e-1,-1.01440731919988814e-1,1.86668948057447492e-1,1.11022302462515654e-16,5.43996103629820666e-16,1.53503424977252929e-16,Nominal
171,9.04812016087347848e-1,-5.54145720593094859e-1,9.22737475563573106e-3,0.00000000000000000e0,2.48467915490813580e-16,1.94378552167604538e-16,Nominal
172,-1.37472918351620788e-1,3.61926588382299963e-1,2.23314645615419916e-1,1.11022302462515654e-16,6.28133106427469195e-16,2.38989246438483031e-16,Nominal
173,-2.55749828672571011e-1,-4.30122463048892900e-1,1.03763103865428552e0,0.00000000000000000e0,3.34178758737589064e-16,1.10605627378889314e-16,Nominal
174,7.88916088636308910e-1,-2.78183063120055030e-1,9.83622226861101678e-2,1.11022302462515654e-16,3.33987207788678954e-16,6.08885468946782262e-17,Nominal
